date,gross_pnl,vega_pnl,spread_cost_full,hedge_cost,positions,names_today,mean_iv,mean_relative_spread,net_vega,net_hedge_notional,gross_premium,long_pnl,short_pnl,net_pnl_25,net_pnl_50
2022-07-18,5397.569213339864,4971.111111111119,183655.08444361453,139.22458965255674,90,447,0.39849611111111116,0.11643491045534965,0.0,-74656.33066599506,804288.4119321356,14507.739007841465,-9110.1697945016,-40655.426487216326,-86569.19759811995
2022-07-19,10563.211935831581,7154.444444444433,176013.36181991384,119.32073473880054,90,449,0.3630333333333334,0.11759566939683447,2.842170943040401e-14,-20888.973046792566,734075.2439726334,758.2382107244093,9804.973725107173,-33559.44925388568,-77562.78970886413
2022-07-20,-6543.297517913153,-8803.488372093012,177017.69244372277,124.53961687003782,86,429,0.37759302325581395,0.12082878907599133,0.0,30123.74526868901,762315.0561245948,-781.9232095254715,-5761.374308387682,-50922.260245713886,-95176.68335664457
2022-07-21,-4903.0081466434685,-1824.4186046511556,161200.18719994157,129.33960190610847,86,430,0.3485936046511628,0.11178739595174125,-8.526512829121202e-14,-71017.51206258414,704130.3887395367,-4639.285401440854,-263.7227452026143,-45332.394548534976,-85632.44134852035
2022-07-22,-5194.028980099451,-5603.4883720930275,170346.1056825783,130.17817216811883,86,425,0.35371453488372095,0.11966811596480893,2.5579538487363607e-13,34543.444390440534,713881.6656180798,-3830.2706958988565,-1363.758284200594,-47910.73357291214,-90497.25999355671
2022-07-25,680.3617496677556,-2192.045454545452,205558.45812562757,155.29377038902234,88,433,0.37556761363636365,0.1304378566224508,2.842170943040401e-14,-59854.77186715824,761853.7069235686,4446.675338923391,-3766.3135892556343,-50864.54655212816,-102254.16108353504
2022-07-26,836.80916076299,11397.67441860465,206538.73728185816,159.39017182689057,86,425,0.3831738372093023,0.12505857737596043,1.7053025658242404e-13,-73192.83647758361,776661.8833605683,-4804.21659290363,5641.025753666621,-50957.26533152844,-102591.94965199298
2022-07-27,4678.962655903322,20084.090909090897,237438.99790448468,169.69863398424474,88,436,0.3714352272727273,0.1654156505638556,1.4210854715202004e-13,-276741.97227585677,755015.2331630657,6210.925377969599,-1531.9627220662774,-54850.4854542021,-114210.23493032326
2022-07-28,7548.418771002017,10793.023255813958,219430.8466742066,172.76827733745793,86,424,0.34847848837209305,0.16683182269882613,5.684341886080802e-14,-156448.27833428542,708883.9360263313,-4700.808474289121,12249.227245291137,-47482.06117488709,-102339.77284343874
2022-07-29,-5135.170097075816,-136.04651162789696,239231.32536709492,212.36137324669124,86,422,0.34880116279069767,0.16108769760324268,-2.842170943040401e-14,-84048.31005615437,713328.4820906523,2261.357841029511,-7396.527938105326,-65155.36281209624,-124963.19415386996
