date,gross_pnl,vega_pnl,spread_cost_full,hedge_cost,positions,names_today,mean_iv,mean_relative_spread,net_vega,net_hedge_notional,gross_premium,long_pnl,short_pnl,unmarked_share,one_sided_mark_share,net_pnl_25,net_pnl_50
2021-02-02,25000.410671427137,20712.5,296936.2890109919,96.24909651852813,88,435,0.3927392045454546,0.20715988609852223,8.526512829121202e-14,-59231.15871898654,790633.8616616416,2496.334505646562,22504.076165780574,0.0,0.0,-49329.910677839376,-123563.98293058736
2021-02-03,34105.70930445671,36435.55555555556,306273.4860685097,97.21017415193492,90,447,0.3899755555555556,0.1954148933514857,1.9895196601282805e-13,-26424.50903766737,784888.1612943822,7152.909307727505,26952.799996729205,0.0,0.0,-42559.87238682265,-119128.24390395006
2021-02-04,17312.37217583434,16737.777777777774,272771.5678935216,97.85485505739106,90,441,0.38111333333333336,0.19241684494211728,-2.842170943040401e-14,-93103.29723233933,767913.5328736361,-4480.461959799204,21792.834135633548,0.0,0.0,-50978.37465260345,-119171.26662598386
2021-02-05,21859.962577522834,15020.454545454537,274267.2921417894,98.90958676091695,88,440,0.3693909090909091,0.16257511130674093,2.5579538487363607e-13,-108420.29465943831,743838.4618613241,8731.164944457756,13128.797633065078,0.0,0.0,-46805.77004468543,-115372.59308013278
2021-02-08,7696.41649903902,8827.777777777768,271212.47678312694,100.11801504393513,90,446,0.3694733333333333,0.20137397183779598,1.4210854715202004e-13,-71220.10887138208,745602.5286722495,-6663.09231333429,14359.50881237331,0.0,0.0,-60206.82071178665,-128009.93990756839
2021-02-09,12546.048586887013,12887.777777777766,261475.9623033345,105.23078623714584,90,449,0.38002666666666673,0.14293586421876336,-2.5579538487363607e-13,-113165.97270402807,766300.2660884943,7753.525168127272,4792.52341875974,0.0,0.0,-52928.17277518375,-118297.16335101739
2021-02-10,15284.401918674861,19614.772727272724,248971.28135644004,105.91511853687716,88,432,0.3848414772727273,0.17359433779277458,-2.842170943040401e-14,-115988.38648852275,776160.5122529124,956.9739200919453,14327.427998582916,0.0,0.0,-47064.33353897202,-109307.15387808204
2021-02-11,11825.467228789443,15204.545454545454,288066.5149828678,105.06337057491828,88,440,0.3795653409090909,0.1830599913398637,5.684341886080802e-14,-154961.07214271172,766982.6201839694,-2610.2238393173834,14435.691068106828,0.0,0.0,-60296.22488750243,-132312.85363321938
2021-02-12,16102.511936761717,9087.500000000002,254997.63874949916,88.46441262772811,88,439,0.36584659090909094,0.18644635044994426,1.9895196601282805e-13,-55355.821979866836,736886.0528154942,-1538.4354809231913,17640.94741768491,0.0,0.0,-47735.3621632408,-111484.7718506156
2021-02-16,10626.213426075932,12772.826086956526,206154.8442774806,163.66255694121438,92,451,0.37815869565217397,0.12920127444424095,2.842170943040401e-14,-4623.13075433669,773276.9257637219,232.0477020220851,10394.165724053848,0.0,0.0,-41076.16020023543,-92614.87126960557
2021-02-17,12927.4688989273,14529.222222222214,200704.11355783822,161.55761632749247,90,441,0.37277072222222224,0.1524671276319283,-5.684341886080802e-14,-221845.68872056124,757381.5069903866,1982.2749517571892,10945.19394717011,0.0,0.0,-37410.11710685975,-87586.14549631931
2021-02-18,21313.618237622635,19592.39130434783,185697.14888950787,175.8186718107669,92,451,0.3763701086956522,0.12065962479915854,-1.4210854715202004e-13,-381992.9829803931,768981.8733183048,4744.304246737556,16569.31399088508,0.0,0.0,-25286.4876565651,-71710.77487894206
2021-02-19,25153.8585874228,9977.17391304348,209775.92057913425,194.54643269182478,92,454,0.3614657608695653,0.13723884547094703,0.0,25938.99486062254,742100.2683496338,27052.29192162849,-1898.433334205693,0.0,0.0,-27484.66799005259,-79928.64813483616
2021-02-22,19839.25978834966,22644.444444444453,280132.9236398222,186.47700425524104,90,443,0.37164444444444444,0.1845678106495439,0.0,-134987.5291571884,761047.5252463216,13339.059835498238,6500.199952851424,0.0,0.0,-50380.448125861134,-120413.67903581669
2021-02-23,16643.81244613138,10782.954545454553,296269.33787541924,162.32769898952208,88,437,0.37679829545454546,0.17919450500463377,-1.4210854715202004e-13,-132314.5413268661,766847.5428098317,22637.397284999137,-5993.584838867761,0.0,0.0,-57585.849721712955,-131653.18419056776
2021-02-24,16178.754686631617,22622.09302325582,334745.46539688634,168.07644464140617,86,429,0.3688994186046512,0.20318193990326883,2.842170943040401e-14,-204069.64593296676,748276.0929680748,40883.91229554356,-24705.15760891194,0.0,0.0,-67675.68810723138,-151362.05445645296
