date,option_pnl,hedge_pnl,cost,gross_pnl,total_pnl,long_pnl,short_pnl,gross_vega,n_positions
2025-07-08,8823.618953773683,-10553.449448510233,0.0,-1729.8304947365511,-1729.8304947365511,-2348.9306358338977,619.1001410973462,160363.48843418813,637
2025-07-09,8129.392870397807,-5751.407540257532,0.0,2377.985330140276,2377.985330140276,-1528.9803363379422,3906.9656664782183,147877.91702107084,637
2025-07-10,-1471.4667128230392,7547.821707029268,0.0,6076.354994206229,6076.354994206229,6682.380661927514,-606.025667721284,153606.4284987711,672
2025-07-11,6271.253253132947,-6743.8588466781985,0.0,-472.60559354525014,-472.60559354525014,-1420.940304895027,948.3347113497767,162092.0009977556,707
2025-07-14,948.9562909627574,863.8569764412812,0.0,1812.8132674040385,1812.8132674040385,-1438.2942912155988,3251.107558619637,158217.6784063313,709
2025-07-15,13095.744008504902,-11703.208337655822,0.0,1392.535670849079,1392.535670849079,2297.2161383396715,-904.6804674905927,161275.1311589626,755
2025-07-16,8127.6715184545665,-4663.938964659867,0.0,3463.7325537946986,3463.7325537946986,-787.632819389107,4251.365373183805,165247.9276227619,799
2025-07-17,-3265.6001211277553,2588.2746282830312,0.0,-677.3254928447237,-677.3254928447237,-1468.0003675867947,790.6748747420712,167237.84349837175,839
2025-07-18,-9683.683036911481,10520.158459282266,0.0,836.4754223707828,836.4754223707828,-2866.3561876258414,3702.8316099966237,171949.9732364617,836
2025-07-21,7302.840419801509,-192.16869196473172,0.0,7110.671727836778,7110.671727836778,-1446.955837370813,8557.62756520759,169162.25272424123,575
2025-07-22,-13609.509436959424,3856.4649143282404,0.0,-9753.044522631184,-9753.044522631184,4515.64625672644,-14268.690779357625,175196.80721576017,619
2025-07-23,22951.207077289117,-21816.666475079186,0.0,1134.54060220993,1134.54060220993,4834.2256342890305,-3699.685032079101,180698.0809751634,660
2025-07-24,-43665.230942416936,9578.083813398724,0.0,-34087.14712901821,-34087.14712901821,-5271.714647897496,-28815.43248112071,174423.43415475404,684
2025-07-25,17609.99835416528,-9248.946145390963,0.0,8361.052208774321,8361.052208774321,-3294.90259980351,11655.954808577831,180941.45371124128,683
2025-07-28,8649.933704162073,-12623.862017473684,0.0,-3973.9283133116105,-3973.9283133116105,-643.0231965444328,-3330.9051167671773,180262.03412376583,655
2025-07-29,-4766.33689610645,6057.709315551733,0.0,1291.3724194452836,1291.3724194452836,4745.932363763154,-3454.5599443178708,188419.74027847234,668
2025-07-30,11441.493345446843,-5376.7330503276,0.0,6064.760295119243,6064.760295119243,4908.669360139182,1156.0909349800604,193138.00635058,681
2025-07-31,-32629.287821532213,-524.3271088074833,0.0,-33153.614930339696,-33153.614930339696,7199.031770101733,-40352.64670044144,193583.81155024713,694
2025-08-01,8889.821891571046,1544.486368690565,0.0,10434.30826026161,10434.30826026161,13783.026327303325,-3348.718067041715,199821.48712990654,696
2025-08-04,-6080.277005835715,3814.8914548818866,0.0,-2265.385550953828,-2265.385550953828,-11800.180005162274,9534.794454208446,190559.14224696258,686
2025-08-05,1011.4591373340671,-3668.3284207405404,0.0,-2656.8692834064727,-2656.8692834064727,-1280.8878492598794,-1375.9814341465935,205325.94429969756,697
2025-08-06,5737.027381364795,2.6356699140340267,0.0,5739.663051278829,5739.663051278829,-2878.1467829184394,8617.809834197269,208005.19591716144,708
2025-08-07,-6869.299837668509,-667.6317312994287,0.0,-7536.931568967938,-7536.931568967938,-185.12631922324266,-7351.805249744696,210459.54234677934,719
2025-08-08,-10452.110947021314,9540.589755556372,0.0,-911.5211914649439,-911.5211914649439,-2439.036435704782,1527.515244239838,210429.15576761847,695
2025-08-11,10748.350441980227,-10743.443761443417,0.0,4.906680536808867,4.906680536808867,-3746.2365730649,3751.1432536017082,199502.30452981387,656
2025-08-12,5080.323057793856,6197.382162579293,0.0,11277.70522037315,11277.70522037315,10073.107757654832,1204.5974627183177,183090.72934151717,635
2025-08-13,5620.504757101572,-5037.353195134434,0.0,583.151561967139,583.151561967139,2149.291901851521,-1566.140339884382,170851.5637523051,563
2025-08-14,3618.952371536221,-1519.1962561325986,0.0,2099.756115403623,2099.756115403623,-3399.710553722392,5499.466669126015,175848.80058563498,534
2025-08-15,2803.2841736657165,-7001.1640905570775,0.0,-4197.879916891361,-4197.879916891361,-2777.2098290070894,-1420.6700878842719,177404.7419015377,508
2025-08-18,7215.026011552277,-6149.827787454755,0.0,1065.1982240975224,1065.1982240975224,-6522.094624671183,7587.292848768705,174028.2707329113,338
2025-08-19,-980.4148682287039,2060.521230775553,0.0,1080.1063625468491,1080.1063625468491,6785.567029246511,-5705.460666699662,181711.08143695517,391
2025-08-20,9920.050288227772,-3292.8527994667097,0.0,6627.197488761061,6627.197488761061,-1852.871690537216,8480.069179298276,186927.785664589,427
2025-08-21,1251.7355480849315,1896.8967903203688,0.0,3148.6323384053,3148.6323384053,-741.6314443440502,3890.26378274935,192639.7081198101,474
2025-08-22,15720.091588549967,-1321.2644750059173,0.0,14398.82711354405,14398.82711354405,9197.822033413786,5201.005080130266,186656.7640881721,525
2025-08-25,-1276.5089784554582,1345.4144075331344,0.0,68.90542907767654,68.90542907767654,-4617.612884801499,4686.5183138791745,183877.50468647768,558
2025-08-26,10893.045876885928,-10244.960326915305,0.0,648.0855499706231,648.0855499706231,1732.4378049098225,-1084.3522549391994,194700.0521226829,607
2025-08-27,5752.235313317316,-1603.9114616189083,0.0,4148.3238516984065,4148.3238516984065,-582.022751194983,4730.34660289339,198250.671468921,645
2025-08-28,-1769.5614015719868,7167.8063498751235,0.0,5398.244948303136,5398.244948303136,-5527.030234025107,10925.275182328245,194524.00618476453,681
2025-08-29,-8211.050395471471,4540.544779052228,0.0,-3670.505616419244,-3670.505616419244,2.4586727741638716,-3672.964289193408,200496.96587693525,682
2025-09-02,-2007.5576284168433,-1072.3889464077715,0.0,-3079.9465748246143,-3079.9465748246143,-2474.270614457613,-605.6759603670012,186175.70026262692,671
2025-09-03,7089.2471503985,-3908.314796263031,0.0,3180.9323541354693,3180.9323541354693,1039.2599662579757,2141.6723878774933,174677.02185569057,671
2025-09-04,12487.672266188387,-6705.0116741848105,0.0,5782.660592003576,5782.660592003576,-2044.4166960393936,7827.0772880429695,180316.54740890276,671
2025-09-05,-7065.327702110229,-6490.782868569119,0.0,-13556.110570679348,-13556.110570679348,-590.8133439305959,-12965.297226748753,180315.8413896063,672
2025-09-08,873.6009421396284,1613.0777131198129,0.0,2486.678655259441,2486.678655259441,-3215.532222763702,5702.210878023143,174886.0360683945,650
2025-09-09,-2859.5242150885097,8053.207236875225,0.0,5193.683021786715,5193.683021786715,5778.8676103840235,-585.1845885973084,163625.48686734372,650
2025-09-10,-84105.48587859249,33850.73803045535,0.0,-50254.747848137136,-50254.747848137136,7850.022667759142,-58104.77051589628,147365.85082212402,650
2025-09-11,13449.805579715727,-16569.492479342833,0.0,-3119.686899627105,-3119.686899627105,-402.2544808306074,-2717.4324187964976,154852.08018521036,691
2025-09-12,25125.84086728273,-12724.406434036691,0.0,12401.434433246042,12401.434433246042,-2163.500238071772,14564.934671317815,157812.30825111558,730
2025-09-15,-7700.293878933953,6354.175701127444,0.0,-1346.1181778065104,-1346.1181778065104,1347.6249081802514,-2693.7430859867613,149282.77714813297,678
2025-09-16,2191.0226060122204,2415.536065787347,0.0,4606.5586717995675,4606.5586717995675,2880.3697559769635,1726.1889158226036,155897.57654003365,732
2025-09-17,17474.933976359993,-11382.532593775702,0.0,6092.401382584293,6092.401382584293,-986.0662629129445,7078.467645497237,162585.97050957783,786
2025-09-18,-620.4144936024055,-7097.299823421142,0.0,-7717.714317023547,-7717.714317023547,-618.8427674323582,-7098.871549591189,163175.1701762279,808
2025-09-19,8568.786769103594,388.44683372695164,0.0,8957.233602830545,8957.233602830545,-181.31041822843545,9138.54402105898,166575.04499440666,828
2025-09-22,3134.8384651903525,-2382.02350068851,0.0,752.814964501843,752.814964501843,37.05442329035358,715.7605412114892,163524.8188619832,627
2025-09-23,2290.8648703294652,-2099.939536190845,0.0,190.92533413862066,190.92533413862066,35.41783651383821,155.50749762478245,176926.4704757505,674
2025-09-24,16673.53666009223,-10385.106783283723,0.0,6288.429876808508,6288.429876808508,1282.8951841633868,5005.534692645121,188500.98879993684,723
2025-09-25,6744.859680051144,-8891.46714314177,0.0,-2146.607463090624,-2146.607463090624,3619.8187294507734,-5766.4261925413975,192869.04947012285,756
2025-09-26,6762.3547718222135,-8832.432624257597,0.0,-2070.0778524353846,-2070.0778524353846,-9222.492021011572,7152.414168576187,197779.31802052917,752
2025-09-29,4538.839139494275,1162.5001067918631,0.0,5701.3392462861375,5701.3392462861375,4100.721016432721,1600.618229853418,193302.3340385437,719
2025-09-30,12314.925288818782,-2667.4353135413744,0.0,9647.489975277407,9647.489975277407,5554.420190310614,4093.0697849667927,200408.55412902884,736
2025-10-01,4090.4484353247894,-745.5483850246746,0.0,3344.9000503001153,3344.9000503001153,6027.649382349766,-2682.749332049651,203288.92090580278,753
2025-10-02,12872.249022565293,-10345.442649656434,0.0,2526.8063729088594,2526.8063729088594,-958.4025276438828,3485.2089005527423,210505.05145856863,768
2025-10-03,-5834.049746177963,6373.315760326685,0.0,539.2660141487208,539.2660141487208,-123.86433288511655,663.1303470338373,217241.53037832383,772
2025-10-06,2914.0552418010643,-204.84196469172932,0.0,2709.213277109335,2709.213277109335,2539.0715575769223,170.1417195324128,211505.2741810408,765
2025-10-07,2561.8950633868094,480.8507297054365,0.0,3042.7457930922455,3042.7457930922455,877.8286673263023,2164.917125765943,200054.93979061747,765
