formation_day,rows,const,b_1,b_5,b_22
2024-10-21,934899,-0.9654002527591367,0.0183489988810884,0.1480954396536611,0.4539408183655214
2024-11-18,944893,-0.9663752151372439,0.018151014219663582,0.1470146628879335,0.4544539599564696
2024-12-23,956881,-0.9747593776069737,0.01827063830956119,0.14394369485714953,0.45433783405147116
2025-01-21,965214,-0.9780971522468137,0.018187014725781263,0.14499488149847772,0.452662095985324
2025-02-24,976387,-0.9788818201220927,0.018020208319840518,0.14302361039224187,0.4541160205218993
2025-03-24,986214,-0.9776784777544177,0.017976262465359136,0.14139802587954003,0.4555318618001921
2025-04-21,995653,-0.9667399486902232,0.01789977449000226,0.14396219609992203,0.4549621012049346
2025-05-19,1005583,-0.9607064677303849,0.017876292432069108,0.13970230117597748,0.4599501249585977
2025-06-23,1016975,-0.9773623212858829,0.01807446188088084,0.14205233693057512,0.4527925709262287
2025-07-21,1026363,-0.9801795171650232,0.017924060963636294,0.14284670635658425,0.4519069431835193
2025-08-18,1036197,-0.9803471044290571,0.017775285128925882,0.1425308538063459,0.4517491097576651
2025-09-22,1047989,-0.9860454394372485,0.0178518457422799,0.141509968860825,0.4511440788672888
2025-10-20,1057812,-0.9879399832838063,0.017776669357585727,0.1417818337760476,0.45066268117123504
2025-11-24,1070093,-0.9864241420845927,0.017739908880569703,0.14151500261424377,0.45065064064234583
