date,gross_pnl,gross_vega,window,book
2025-04-04,11320.782091347328,18414.79710050596,1m,mvo
2025-04-07,29526.480935704996,19999.999963316837,1m,mvo
2025-04-08,8405.118667434397,19583.485322570203,1m,mvo
2025-04-09,-60576.15470765682,21122.541224397948,1m,mvo
2025-04-10,12552.08478614282,20641.55660936318,1m,mvo
2025-04-11,14467.20325385053,20474.158210056215,1m,mvo
2025-04-14,-36060.13302642599,19999.99997862317,1m,mvo
2025-04-15,-27978.8399100721,19654.6305847547,1m,mvo
2025-04-16,8870.029152493758,19033.0819207414,1m,mvo
2025-04-17,-4369.145337730342,18712.237651253825,1m,mvo
2025-04-21,-10577.070126481114,19999.99996451273,1m,mvo
2025-04-22,-51722.67999475989,20102.119079273936,1m,mvo
2025-04-23,33806.164486375514,19537.17178798031,1m,mvo
2025-04-24,-8706.304163435572,19301.718111265473,1m,mvo
2025-04-25,-11157.760040339603,19229.482278375872,1m,mvo
2025-04-28,17311.93760731385,19999.999914479882,1m,mvo
2025-04-29,-2193.2399572176064,19729.14905975652,1m,mvo
2025-04-30,5075.595485967277,19518.00269359364,1m,mvo
2025-05-01,15441.417368909824,19099.412462491557,1m,mvo
2025-05-02,3408.8613688621167,18451.81889817622,1m,mvo
2025-05-05,-7993.975677407849,19999.999951867943,1m,mvo
2025-05-06,-34024.062864726504,19667.275719348105,1m,mvo
2025-05-07,-1374.747444939824,19267.422969170653,1m,mvo
2025-05-08,-4276.966838624895,18513.002251306018,1m,mvo
2025-05-09,11211.724788277328,18025.94434602922,1m,mvo
2025-05-12,10204.982085190475,19999.999985703413,1m,mvo
2025-05-13,-56837.88553418818,20031.383240278472,1m,mvo
2025-05-14,-11220.340534915069,19994.300808689564,1m,mvo
2025-05-15,-29952.47581940995,19494.377772203556,1m,mvo
2025-05-16,8645.8517598503,19127.095976942335,1m,mvo
2025-05-19,23802.427850352775,19999.999866307055,1m,mvo
2025-05-20,-5904.592961213007,20361.849817977487,1m,mvo
2025-05-21,-22697.252112185655,21609.454485778217,1m,mvo
2025-05-22,28407.917149280784,21024.10556295022,1m,mvo
2025-05-23,5088.466462914484,20723.23566169022,1m,mvo
2025-05-27,-6070.14227810442,19999.999925632936,1m,mvo
2025-05-28,-21872.925467552803,20431.643410801087,1m,mvo
2025-05-29,6895.793345862853,20042.844904759928,1m,mvo
2025-05-30,-7933.626745240705,19169.781323242518,1m,mvo
2025-06-02,4963.082878854394,19999.99988738616,1m,mvo
2025-06-03,4357.367449967577,19888.576681044673,1m,mvo
2025-06-04,-3843.5695955292913,19553.379298914035,1m,mvo
2025-06-05,-1173.8937386426162,19691.185397771125,1m,mvo
2025-06-06,6869.983966876343,19245.5127139874,1m,mvo
2025-06-09,-4724.935319512641,19999.999953067854,1m,mvo
2025-06-10,-2949.8189742923896,19265.711195045515,1m,mvo
2025-06-11,3754.637022233433,19538.05128138947,1m,mvo
2025-06-12,2969.66181214835,19262.27171963918,1m,mvo
2025-06-13,8365.812392850436,18901.64996033096,1m,mvo
2025-06-16,-12735.760460490961,19999.999911907962,1m,mvo
2025-06-17,57439.93448060105,19786.840181347092,1m,mvo
2025-06-18,-10209.890583332683,19210.608602710083,1m,mvo
2025-06-20,-15383.27022819043,18447.00751200636,1m,mvo
2025-06-23,22131.547762777183,19999.99992022039,1m,mvo
2025-06-24,-16644.633728927973,19112.30417036145,1m,mvo
2025-06-25,7432.947751525282,19114.560093414348,1m,mvo
2025-06-26,14768.243511621795,18930.657616940887,1m,mvo
2025-06-27,2474.9730027052833,18255.666744811675,1m,mvo
2025-06-30,-27293.814028170545,19999.99986789277,1m,mvo
2018-07-02,0.0,20000.0,3m_skip1m,rank
2018-07-03,7367.333197036677,19710.887953324032,3m_skip1m,rank
2018-07-05,-6722.489650217344,19214.957682695756,3m_skip1m,rank
2018-07-06,-9667.533011867201,18677.463313084274,3m_skip1m,rank
2018-07-09,14402.975061190162,20000.0,3m_skip1m,rank
2018-07-10,-8532.938286200651,19707.186330907418,3m_skip1m,rank
2018-07-11,10378.310232166998,19610.352052162554,3m_skip1m,rank
2018-07-12,-4748.420719205934,18996.16631793104,3m_skip1m,rank
2018-07-13,-4196.218856545723,18459.793259830938,3m_skip1m,rank
2018-07-16,4974.236606395724,20000.0,3m_skip1m,rank
2018-07-17,-17708.530487621145,20007.381796440153,3m_skip1m,rank
2018-07-18,3248.2478273676415,19617.859333914366,3m_skip1m,rank
2018-07-19,7996.684755589169,18855.61925372816,3m_skip1m,rank
2018-07-20,-15196.013925808113,18855.87610134636,3m_skip1m,rank
2018-07-23,14453.58334050242,20000.0,3m_skip1m,rank
2018-07-24,5351.760841928717,18950.002489284907,3m_skip1m,rank
2018-07-25,-10761.613365563193,17713.742617684962,3m_skip1m,rank
2018-07-26,33144.131553799714,18045.541230814186,3m_skip1m,rank
2018-07-27,-152.659438674342,16723.401227121984,3m_skip1m,rank
2018-07-30,5172.933517540875,20000.0,3m_skip1m,rank
2018-07-31,-6693.092609659312,19499.7210206966,3m_skip1m,rank
2018-08-01,-1382.7073115338883,19247.88128767352,3m_skip1m,rank
2018-08-02,1228.600051654374,18526.343698962643,3m_skip1m,rank
2018-08-03,643.3426672978663,17720.947976423442,3m_skip1m,rank
2018-08-06,-13676.29781784604,20000.0,3m_skip1m,rank
2018-08-07,8932.65710869129,19576.00600181646,3m_skip1m,rank
2018-08-08,-2665.318815029182,18945.355645818072,3m_skip1m,rank
2018-08-09,-87.61848158444539,18208.895811564704,3m_skip1m,rank
2018-08-10,-2081.509464287188,18126.280722877273,3m_skip1m,rank
2018-08-13,-6010.7142237642,20000.0,3m_skip1m,rank
2018-08-14,-846.2267857994016,20059.47784767202,3m_skip1m,rank
2018-08-15,5966.639515566571,19412.71770716851,3m_skip1m,rank
2018-08-16,-3478.9506005702083,18824.751256673564,3m_skip1m,rank
2018-08-17,5436.766191363707,18262.980249532124,3m_skip1m,rank
2018-08-20,5198.406043628123,20000.0,3m_skip1m,rank
2018-08-21,-3824.7330281984555,20037.6966499419,3m_skip1m,rank
2018-08-22,-4483.206429545266,19559.851383598038,3m_skip1m,rank
2018-08-23,3307.9539608738783,20244.408774671785,3m_skip1m,rank
2018-08-24,691.1661041142661,19821.561275975182,3m_skip1m,rank
2018-08-27,-5579.061512672116,20000.0,3m_skip1m,rank
2018-08-28,-11983.995944062117,19159.27979776585,3m_skip1m,rank
2018-08-29,8169.371569138601,19374.982094032457,3m_skip1m,rank
2018-08-30,-19461.85929348152,18424.287465703586,3m_skip1m,rank
2018-08-31,-2059.3563012420204,17100.43025722128,3m_skip1m,rank
2018-09-04,5686.799259583253,20000.0,3m_skip1m,rank
2018-09-05,700.8405849757685,19608.021213241544,3m_skip1m,rank
2018-09-06,-92.42592446552197,19214.002249199573,3m_skip1m,rank
2018-09-07,2702.3674834452804,18814.86733578349,3m_skip1m,rank
2018-09-10,226.4632734516298,20000.0,3m_skip1m,rank
2018-09-11,2111.745827325033,19758.50726611302,3m_skip1m,rank
2018-09-12,912.9533704625346,19327.18201515081,3m_skip1m,rank
2018-09-13,-1557.2244131434343,18728.785451793454,3m_skip1m,rank
2018-09-14,-20.911745069887704,18288.64527263062,3m_skip1m,rank
2018-09-17,34.65411900286889,20000.0,3m_skip1m,rank
2018-09-18,4558.077065409121,19379.72464700771,3m_skip1m,rank
2018-09-19,-2286.2031488477132,19129.085106964518,3m_skip1m,rank
2018-09-20,-1936.0927273961042,18529.18271568279,3m_skip1m,rank
2018-09-21,194.6945441853195,18046.68321074106,3m_skip1m,rank
2018-09-24,1039.1511740400274,20000.0,3m_skip1m,rank
2018-09-25,338.84575257008095,19496.838318458533,3m_skip1m,rank
2018-09-26,-2405.2829171025587,18611.332052834772,3m_skip1m,rank
2018-09-27,-181.97444192250555,17918.354569611423,3m_skip1m,rank
2018-09-28,-739.8069915620797,17490.438917812724,3m_skip1m,rank
2018-10-01,-2872.8205443210377,20000.0,3m_skip1m,rank
2018-10-02,-2024.8803934910954,19720.431145376577,3m_skip1m,rank
2018-10-03,1819.8681149452543,19336.324780258823,3m_skip1m,rank
2018-10-04,-249.73542445813678,19024.71557538206,3m_skip1m,rank
2018-10-05,-546.7361198990898,18593.22710960761,3m_skip1m,rank
2018-10-08,209.14948023435292,20000.0,3m_skip1m,rank
2018-10-09,-462.2581046896373,19543.72161371355,3m_skip1m,rank
2018-10-10,1705.6039466057125,18798.928149843534,3m_skip1m,rank
2018-10-11,-1558.7729766928173,17892.398938772592,3m_skip1m,rank
2018-10-12,4338.535187475998,18201.21347326689,3m_skip1m,rank
2018-10-15,921.0610770925425,20000.0,3m_skip1m,rank
2018-10-16,-8334.567796218287,22028.825505703044,3m_skip1m,rank
2018-10-17,161.4445236064218,21524.784542654186,3m_skip1m,rank
2018-10-18,2128.798478332348,19942.869827458606,3m_skip1m,rank
2018-10-19,4340.971255062732,19661.092399781654,3m_skip1m,rank
2018-10-22,-8338.188362473371,20000.0,3m_skip1m,rank
2018-10-23,11494.275997421642,23278.32278753943,3m_skip1m,rank
2018-10-24,11823.757986767201,25144.5650590432,3m_skip1m,rank
2018-10-25,-6112.528915079891,26385.93985662742,3m_skip1m,rank
2018-10-26,-10591.072474314244,26095.952588553475,3m_skip1m,rank
2018-10-29,-3277.472577473981,20000.0,3m_skip1m,rank
2018-10-30,-2477.890985041052,19620.52248240588,3m_skip1m,rank
2018-10-31,-12134.948758878334,19292.273824816402,3m_skip1m,rank
2018-11-01,-2911.5698923329082,18855.063801161286,3m_skip1m,rank
2018-11-02,-463.45485226289804,18534.812447840974,3m_skip1m,rank
2018-11-05,2799.0791443061657,20000.0,3m_skip1m,rank
2018-11-06,-701.9217921908345,19188.314233402318,3m_skip1m,rank
2018-11-07,-2847.4789818550225,17392.7821014313,3m_skip1m,rank
2018-11-08,5292.851446274668,17240.938836132438,3m_skip1m,rank
2018-11-09,-6776.897147430875,17825.355436816528,3m_skip1m,rank
2018-11-12,-1894.5633345833928,19920.48206555939,3m_skip1m,rank
2018-11-13,991.9578850167309,19509.63433779544,3m_skip1m,rank
2018-11-14,-1916.8147677630272,19794.12245341581,3m_skip1m,rank
2018-11-15,3739.3187476752373,19076.994567272264,3m_skip1m,rank
2018-11-16,700.7225161189231,18331.972923369543,3m_skip1m,rank
2018-11-19,1993.756485196075,20000.0,3m_skip1m,rank
2018-11-20,-2561.6663454649906,21529.67901415129,3m_skip1m,rank
2018-11-21,164.26586305697697,20820.263250140833,3m_skip1m,rank
2018-11-23,-2165.6627658276984,20235.153385703812,3m_skip1m,rank
2018-11-26,1867.1740791455784,20000.0,3m_skip1m,rank
2018-11-27,4040.942861906676,19219.83505308293,3m_skip1m,rank
2018-11-28,-5338.676928504866,19054.6627518288,3m_skip1m,rank
2018-11-29,-640.1104744465166,19245.33875141335,3m_skip1m,rank
2018-11-30,5653.8382467979945,18434.122440439343,3m_skip1m,rank
2018-12-03,3886.2852986276653,20000.0,3m_skip1m,rank
2018-12-04,1336.0923785485631,18826.201101371713,3m_skip1m,rank
2018-12-06,599.2180589458925,18074.015439945215,3m_skip1m,rank
