variant,decile,straddle,call_hedged,put_hedged
iv vs own 12m mean,6,0.04237829155709488,0.0013803402296579579,0.0019914205556732243
iv vs own 12m mean,7,0.05681700234777504,0.0013745634392099072,0.002020348146849754
iv vs own 12m mean,8,0.07271720684003004,0.0030546414959852558,0.0033275374500258427
iv vs own 12m mean,9,0.023171334249056205,0.0006287689359829951,0.00045894422414228294
iv vs own 12m mean,10,0.04102513334368095,0.0017599229937142389,0.0019246663898314512
iv z-score vs own 12m,1,0.03790564272873007,-0.00016919084147581735,0.0011916981711490825
iv z-score vs own 12m,2,0.053034465132696954,0.0014951365374056527,0.0016882055740725665
iv z-score vs own 12m,3,0.011200699657537307,-0.0015954037754646831,-0.00045442436508806415
iv z-score vs own 12m,4,0.03481880815957215,-0.00044072495007040904,0.0014389788849984025
iv z-score vs own 12m,5,0.03743040646125777,0.001005633155712502,0.0008024949742461312
iv z-score vs own 12m,6,0.049134646271710616,0.0010273578910982293,0.002096211744455349
iv z-score vs own 12m,7,0.027572012169177772,0.00007655899159616986,0.00042047011718572954
iv z-score vs own 12m,8,0.032089849606435884,0.000010044091542099026,0.0006250066577030727
iv z-score vs own 12m,9,0.05942669663762809,0.0023100729105465572,0.0028440284056228914
iv z-score vs own 12m,10,0.0591135167479371,0.0033630443505314575,0.003373814417827694
rank(hv/iv) + rank(iv history),1,0.04609328272811869,-0.0003168148443706385,0.0012935227200363032
rank(hv/iv) + rank(iv history),2,0.02378952223076364,-0.0008418338436378673,4.009441317171978e-6
rank(hv/iv) + rank(iv history),3,0.03318968183017557,0.00008725263954146097,0.0009767882151108067
rank(hv/iv) + rank(iv history),4,0.026301333212014846,-0.00022173784459560708,0.0008167555863879646
rank(hv/iv) + rank(iv history),5,0.026869593271179226,-0.00015101966313908231,0.0008540777139017879
rank(hv/iv) + rank(iv history),6,0.05161276030111536,0.0010988069085126801,0.0027305292001017114
rank(hv/iv) + rank(iv history),7,0.05470926748312153,0.001679973513540467,0.001819944120541845
rank(hv/iv) + rank(iv history),8,0.06128595910676823,0.002130086353676144,0.0018650373442575556
rank(hv/iv) + rank(iv history),9,0.05802530903459418,0.002545004122193702,0.002332750237460273
rank(hv/iv) + rank(iv history),10,0.019144662951459775,0.0010252862507217114,0.0012462084448685692
"combined, ex-earnings",1,0.0579220044316134,0.001473379833061709,0.0022717899638165246
"combined, ex-earnings",2,0.024567124289837067,-0.0024578596403524874,-0.00028296138771783687
"combined, ex-earnings",3,0.006896050094921177,-0.0006583128125184064,0.00004739329220094622
"combined, ex-earnings",4,0.03039455911422245,-0.0013615207498865903,0.0008725135170534267
"combined, ex-earnings",5,0.015252493594362163,-0.0005044366311370886,0.0009971103585174129
"combined, ex-earnings",6,0.0693746865961869,0.00244179513482605,0.0030526528253352727
"combined, ex-earnings",7,0.04880600609194125,0.001064626358406623,0.0013942600100261809
"combined, ex-earnings",8,0.059097876997473944,0.0019974478520863597,0.0016415213820268558
"combined, ex-earnings",9,0.054991615324108616,0.002305649548963262,0.0027577647244958173
"combined, ex-earnings",10,0.02843238068611177,0.001481766711825613,0.0019242189187270472
"baseline, zero-delta straddle",1,0.02404622595437891,-0.0006683375263443163,0.0015425487388450083
"baseline, zero-delta straddle",2,0.032380165139489,0.0013053923837822129,0.0018398816847373684
"baseline, zero-delta straddle",3,-0.003642756462561431,-0.0019096321600983541,-0.0011668881325509067
"baseline, zero-delta straddle",4,0.01613247602588595,0.0007870158787247745,0.0015925341395606675
"baseline, zero-delta straddle",5,-0.004380163563510965,-0.0007220235845237849,0.00017735295189891994
"baseline, zero-delta straddle",6,0.015345284131015456,-0.00014467801991195487,0.0010012829541544525
"baseline, zero-delta straddle",7,0.03679213352467832,0.0011844304574868234,0.0016777068688020968
"baseline, zero-delta straddle",8,0.02893667261221995,0.0018789506035384782,0.0019176093221094919
"baseline, zero-delta straddle",9,0.017915217881036522,0.0011221910000894489,0.001329497132975894
"baseline, zero-delta straddle",10,0.03727323544545424,0.002633158938179899,0.002545002224322276
"baseline, exit after 3 sessions",1,0.014064281250023907,0.00023576557696009036,0.0011773380111083252
"baseline, exit after 3 sessions",2,0.020706528685368125,0.000943311386878228,0.001664429224005948
"baseline, exit after 3 sessions",3,0.013699539433212381,0.00043554551989303473,0.0007767094825684203
"baseline, exit after 3 sessions",4,0.01593747308137983,0.0006423737623816955,0.001093242938872244
"baseline, exit after 3 sessions",5,0.020021955657728248,0.0011577074038813032,0.0015768221634594073
"baseline, exit after 3 sessions",6,0.01857706895654813,0.0007928161338907657,0.0013000063167344126
"baseline, exit after 3 sessions",7,0.019673597368566387,0.000741424010340401,0.0012955407469941317
"baseline, exit after 3 sessions",8,0.011177613585276573,0.0006001622462990557,0.0008385045384356341
"baseline, exit after 3 sessions",9,0.008739680564627084,0.0004054248905777274,0.0006320102321654876
"baseline, exit after 3 sessions",10,0.011810182618316643,0.0007504614951308364,0.0011441776547981514
"baseline, exit after 5 sessions",1,0.009522147231254201,-0.00006156892351631608,0.0005972039895484454
