11:48:08 level_book 533 symbols, history from 2023-10-23, forward to 2025-10-08
11:48:42 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/BX.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:42 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/BXP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:43 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/C.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:43 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CAG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:44 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CAH.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:44 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CARR.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:44 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CAT.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:45 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CB.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:45 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CBOE.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:46 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CBRE.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:46 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CCI.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:47 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CCL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:47 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CDAY.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:47 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CDNS.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:48 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CDW.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:48 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CE.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:48 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CEG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:49 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CF.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:49 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CFG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:50 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CHD.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:50 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CHRW.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:51 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CHTR.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
