19:25:42 level_book 659 symbols, history from 2017-04-24, forward to 2025-10-08
19:25:42 level_book reference paths: 1067053 rows (0s)
19:25:43 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/index_greeks_2017/SPX.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
19:25:43 level_book surface: 1067345 rows (1s)
19:25:45 level_book HAR: 1046279 forecasts, last fit [{'date': datetime.date(2025, 10, 1), 'rows': 1043953, 'const': -1.131449256807854, 'residual_var': 0.5294040664610805, 'b_rv_1': 0.025852336886258424, 'b_rv_5': 0.19588718583422726, 'b_rv_22': 0.8056671009823344}] (3s)
19:25:46 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2018/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
20:42:50 voltium.backtester 2023-04-10  positions=54  day pnl=16987  cum pnl=-4655484
20:43:33 voltium.backtester 2023-04-24  positions=58  day pnl=-8510  cum pnl=-4625227
20:44:14 voltium.backtester 2023-05-08  positions=56  day pnl=34741  cum pnl=-4931446
20:44:56 voltium.backtester 2023-05-22  positions=52  day pnl=14942  cum pnl=-4888524
20:45:38 voltium.backtester 2023-06-06  positions=52  day pnl=-15380  cum pnl=-4903352
20:46:22 voltium.backtester 2023-06-21  positions=56  day pnl=-3106  cum pnl=-4887496
20:47:04 voltium.backtester 2023-07-06  positions=53  day pnl=106  cum pnl=-4915420
20:47:50 voltium.backtester 2023-07-20  positions=55  day pnl=-5117  cum pnl=-4965925
20:48:34 voltium.backtester 2023-08-03  positions=55  day pnl=2827  cum pnl=-4983299
20:49:16 voltium.backtester 2023-08-17  positions=57  day pnl=8239  cum pnl=-4944472
20:49:58 voltium.backtester 2023-08-31  positions=54  day pnl=-17563  cum pnl=-4953036
20:50:42 voltium.backtester 2023-09-15  positions=58  day pnl=-2221  cum pnl=-4993673
20:51:24 voltium.backtester 2023-09-29  positions=58  day pnl=-6675  cum pnl=-5010725
20:52:07 voltium.backtester 2023-10-13  positions=55  day pnl=-8214  cum pnl=-5100433
20:52:49 voltium.backtester 2023-10-27  positions=55  day pnl=4079  cum pnl=-5169158
20:53:33 voltium.backtester 2023-11-10  positions=53  day pnl=8098  cum pnl=-5223003
20:54:16 voltium.backtester 2023-11-27  positions=57  day pnl=-29770  cum pnl=-5253971
20:55:01 voltium.backtester 2023-12-11  positions=64  day pnl=-2771  cum pnl=-5255287
20:55:43 voltium.backtester 2023-12-26  positions=64  day pnl=972  cum pnl=-5341499
20:55:55 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2024/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
20:56:31 voltium.backtester 2024-01-10  positions=55  day pnl=2420  cum pnl=-5377838
20:57:22 voltium.backtester 2024-01-25  positions=60  day pnl=2716  cum pnl=-5381705
20:58:14 voltium.backtester 2024-02-08  positions=63  day pnl=10469  cum pnl=-5443157
20:59:05 voltium.backtester 2024-02-23  positions=63  day pnl=2769  cum pnl=-5462930
20:59:56 voltium.backtester 2024-03-08  positions=56  day pnl=1277  cum pnl=-5536891
21:00:47 voltium.backtester 2024-03-22  positions=59  day pnl=-3742  cum pnl=-5586853
21:01:40 voltium.backtester 2024-04-08  positions=56  day pnl=-2845  cum pnl=-5716616
21:02:33 voltium.backtester 2024-04-22  positions=61  day pnl=-3043  cum pnl=-5765224
21:03:26 voltium.backtester 2024-05-06  positions=45  day pnl=-12645  cum pnl=-5845432
21:04:17 voltium.backtester 2024-05-20  positions=42  day pnl=-12320  cum pnl=-5876012
