15:42:36 level_book 659 symbols, history from 2017-04-24, forward to 2025-10-08
15:42:37 level_book reference paths: 1067053 rows (1s)
15:43:05 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BEN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:05 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BFB.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:43:05 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/BG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:43:05 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BHF.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:05 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BHI.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:06 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BIIB.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:06 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2020/BIO.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:06 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BK.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:07 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2018/BKNG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:43:08 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2019/BKR.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:08 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/BLDR.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:43:08 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BLK.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:09 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2019/BMS.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0102, theta/day share 1.00)
15:43:09 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BMY.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:09 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2018/BR.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:10 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BRKB.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:10 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2021/BRO.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:43:10 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BSX.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:11 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BWA.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:11 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/BX.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:11 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BXP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:11 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/C.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:12 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CA.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:43:12 voltium.providers.base materialize: 100/659 symbols
15:43:12 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CAG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:12 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CAH.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:12 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2020/CARR.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:43:13 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CAT.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:13 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CB.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:13 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CBOE.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:14 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2018/CBRE.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0099, theta/day share 1.00)
15:43:14 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CCI.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:14 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CCL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
