horizon,target,symbol,origins,qlike_RV,rmse_RV,qlike_ARCH,rmse_ARCH,qlike_GARCH,rmse_GARCH,qlike_IV,rmse_IV,qlike_MEAN,rmse_MEAN,t_dm_iv_vs_rv,premium_points,premium_ratio,mean_iv,best_qlike,best_rmse
5,target_rv,TRMB,97,0.6381011708116284,0.1162910361267835,0.28860722470303635,0.10268506016398551,0.3160609258097626,0.10886271470910157,0.33726965054776936,0.11925556108703837,0.37682075701523826,0.0951920097727424,-1.3054476115178084,5.9733148465365105,1.2537809074112387,29.51060497394972,ARCH,MEAN
5,target_rv,TROW,105,1.016279602844243,0.13691786470141096,0.47056529366364785,0.12213158497354633,0.49438212487096556,0.12723254249421048,0.40912614818476184,0.10492024502198481,0.45466236018668504,0.10166759882419066,-2.1230964920749247,4.121462221557608,1.1998438218049186,24.74487796858456,IV,MEAN
5,target_rv,TRV,99,0.835447113204343,0.09794195945869157,0.4633230544658994,0.09994231590647215,0.4711201116226618,0.10149434918358792,0.3374276461775963,0.07915755504252724,0.37545064482276796,0.08178570216863244,-1.6251651826830744,4.6492915084247635,1.280439770927269,21.22786555679162,IV,IV
5,target_rv,TSCO,121,0.312878833102307,0.07600876027741535,0.2563093133876851,0.09371025147503091,0.23420712228063714,0.08626523609353236,0.2838499984016441,0.10823644523867894,0.1563693865773993,0.06206992988917313,-0.3762418963984253,7.397000342177945,1.3423547024023696,29.003247577199858,MEAN,MEAN
5,target_rv,TSLA,125,0.6224347168897179,0.2135632222796475,0.42004991567493444,0.2695918033030219,0.35435726723396554,0.23851059727616605,0.21564191448815925,0.15559485889931762,0.23667661616247557,0.1551632057938253,-3.635108540461341,7.955612203349208,1.1788142827817039,52.446533619629,IV,MEAN
5,target_rv,TSN,101,1.455225239699634,0.14010533366393624,0.4414259000827949,0.10350390323368852,0.4182541976691442,0.09993274158859645,0.41725459343699073,0.10420170377927686,0.5667732631496211,0.10201826947865582,-2.7486743942296203,3.7053771353036042,1.1761138954157766,24.745040851535656,IV,GARCH
5,target_rv,TT,105,0.934590504184467,0.1689538321701639,0.5545487424656746,0.17708465556176833,0.5546427956934592,0.14305442938705065,0.41202452116711297,0.11695964248718829,0.7700484005865501,0.12900815384884184,-3.3072235971256614,4.289054026138468,1.1938209697126838,26.41800133507246,IV,IV
5,target_rv,TTWO,125,1.6603611031625385,0.17728447389080668,0.6752611037559069,0.17495910305248377,0.7187306687008895,0.15031502769956862,0.5510083086898965,0.1611959892811774,0.7407783431793831,0.12574996224725782,-1.8566379356006786,9.835702931497083,1.4606300152782137,31.188421176651975,IV,MEAN
5,target_rv,TXN,125,4.9404580019292546,0.27033456030267805,0.9531841376975981,0.28946886554046797,0.8423554751768112,0.27605008736380154,0.670875649325646,0.19021977994813846,1.6241518849187153,0.20325010302928015,-1.3788001063499074,4.413500631831805,1.1584957719736502,32.25967328914125,IV,IV
5,target_rv,TXT,99,1.143776130507656,0.15966274659890686,0.5783482320967367,0.1474654736173492,0.5616140619311023,0.14243728514057402,0.3966926135543345,0.10892970332155624,0.6509129226359153,0.1137635104373835,-1.7924034393903743,5.254923382761614,1.2684222720270086,24.83199999074469,IV,IV
