date,gross,net,costs,missing_marks
2022-12-02,0.0,-172.00000000000028,172.00000000000028,0
2022-12-05,-355.00000000000114,-355.00000000000114,0.0,0
2022-12-06,-2444.999999999999,-2444.999999999999,0.0,0
2022-12-07,-440.00000000000057,-440.00000000000057,0.0,0
2022-12-08,1684.9999999999995,1684.9999999999995,0.0,0
2022-12-09,-17229.999999999996,-49496.99999999999,32266.999999999996,0
2022-12-12,0.0,0.0,0.0,0
2022-12-13,0.0,0.0,0.0,0
2022-12-14,0.0,0.0,0.0,0
2022-12-15,0.0,-452.0,452.0,0
2022-12-16,-1364.9999999999977,-1364.9999999999977,0.0,0
2022-12-19,-1040.0000000000005,-1040.0000000000005,0.0,0
2022-12-20,1234.9999999999995,1234.9999999999995,0.0,0
2022-12-21,3355.000000000001,3355.000000000001,0.0,0
2022-12-22,-3609.9999999999995,-4126.999999999998,516.9999999999991,0
2022-12-23,0.0,0.0,0.0,0
2022-12-27,0.0,0.0,0.0,0
2022-12-28,0.0,0.0,0.0,0
2022-12-29,0.0,0.0,0.0,0
2022-12-30,0.0,0.0,0.0,0
2023-01-03,0.0,0.0,0.0,0
2023-01-04,0.0,0.0,0.0,0
2023-01-05,0.0,0.0,0.0,0
2023-01-06,0.0,0.0,0.0,0
2023-01-09,0.0,0.0,0.0,0
2023-01-10,0.0,0.0,0.0,0
2023-01-11,0.0,0.0,0.0,0
2023-01-12,0.0,0.0,0.0,0
2023-01-13,0.0,-387.0000000000001,387.0000000000001,0
2023-01-17,725.0,725.0,0.0,0
2023-01-18,-214.99999999999773,-214.99999999999773,0.0,0
2023-01-19,-200.0,-200.0,0.0,0
2023-01-20,1005.0000000000011,1005.0000000000011,0.0,0
2023-01-23,-205.00000000000114,-572.000000000001,366.9999999999999,0
2023-01-24,0.0,0.0,0.0,0
2023-01-25,0.0,0.0,0.0,0
2023-01-26,0.0,-137.00000000000014,137.00000000000014,0
2023-01-27,-125.0,-125.0,0.0,0
2023-01-30,775.0,775.0,0.0,0
2023-01-31,-705.0000000000011,-705.0000000000011,0.0,0
2023-02-01,-1380.0000000000011,-1380.0000000000011,0.0,0
2023-02-02,-1444.9999999999989,-2131.999999999998,686.9999999999994,0
2023-02-03,0.0,-112.00000000000014,112.00000000000014,0
2023-02-06,-320.0000000000017,-320.0000000000017,0.0,0
